sector,code,name,price_now,close_latest,pct_120d,pct_60d,trend,ma_order,dist_ma20_pct,dist_ma60_pct,bb_pos_pct,rsi14,atr_pct,vol_ratio,entry_low,entry_high,entry_aggressive,risk_level,risk_reasons,supports,entry_discount
有色金属,002428,云南锗业,100.44,100.44,98.5,98.2,强上升,bullish,12.8,33.9,91,57.5,7.25,0,76.53,97.43,78.85,高,近120日高位; 远离MA20; 极度缩量; 高波动,MA20=89.01 | MA40=86.06 | MA60=75.03 | BB下轨=75.09,23.8
有色金属,000657,中钨高新,98.48,98.48,100,100,上升,bullish,33.3,63.2,109.2,75.9,7.01,0,61.57,95.53,55.79,高,近120日高位; 远离MA20; RSI超买; 接近20日高点; 极度缩量; 高波动,MA20=73.89 | MA40=65.84 | MA60=60.36 | BB下轨=53.13,37.5
有色金属,600259,中稀有色,116.28,116.28,100,100,上升,bullish,26.4,27.2,118.3,83.1,6.16,0,93.27,112.79,77.9,高,近120日高位; 远离MA20; RSI超买; 接近20日高点; 极度缩量; 高波动,MA20=91.98 | MA40=94.18 | MA60=91.44 | BB下轨=74.19,19.8
有色金属,600549,厦门钨业,85.91,85.91,100,100,上升,bullish,37.9,45.3,107.7,82.2,6.87,0,60.29,83.33,43.95,高,近120日高位; 远离MA20; RSI超买; 极度缩量; 高波动,MA20=62.30 | MA40=59.96 | MA60=59.11 | BB下轨=41.86,29.8
机器人,002050,三花智控,45.74,45.74,23.6,31.3,震荡偏空,mixed,-3.7,-2.2,36.7,47.4,4.96,0,45.81,44.37,43,低,极度缩量,MA20=47.48 | MA40=48.19 | MA60=46.75 | BB下轨=40.95,-0.2
机器人,601689,拓普集团,62.3,62.3,23.8,39.5,震荡偏空,mixed,-4.1,0,33.4,49.8,5.45,0,63.54,60.43,59.84,高,极度缩量; 高波动,MA20=64.95 | MA40=64.32 | MA60=62.30 | BB下轨=56.99,-2
机器人,002527,新时达,14.65,14.65,38.9,57,上升,mixed,0.9,6.1,54,53.6,7.36,0.99,14.09,14.21,13.47,高,高波动,MA20=14.52 | MA40=13.95 | MA60=13.81 | BB下轨=12.83,3.8
机器人,002896,中大力德,82.3,82.3,52.4,52.4,震荡偏多,mixed,-0.6,6.5,47.8,56.4,7.11,0,78.83,79.83,75.56,高,极度缩量; 高波动,MA20=82.78 | MA40=78.77 | MA60=77.28 | BB下轨=71.96,4.2
机器人,002472,双环传动,43.78,43.78,69.2,87.4,强上升,mixed,3.7,9.4,71,64.6,5.86,0,40.84,42.47,40.43,高,极度缩量; 高波动,MA20=42.22 | MA40=41.50 | MA60=40.04 | BB下轨=38.51,6.7
机器人,002747,埃斯顿,36.5,36.5,94.3,94.3,强上升,mixed,16.7,46,89.9,69.3,7.64,0,25.5,35.41,25.94,高,近120日高位; 远离MA20; 极度缩量; 高波动,MA20=31.26 | MA40=27.34 | MA60=25.00 | BB下轨=24.70,30.1
玻璃基板,000012,南玻A,4.3,4.3,42.9,66.7,强上升,mixed,0.1,0.5,50.6,56.3,6.31,1.16,4.26,4.17,4.11,高,高波动,MA20=4.30 | MA40=4.17 | MA60=4.28 | BB下轨=3.91,0.9
玻璃基板,600876,凯盛新能,9.93,9.93,54.1,55.3,上升,mixed,13,5.5,119.8,66.6,5.05,4.82,8.96,9.63,8.36,高,远离MA20; 高波动,MA20=8.79 | MA40=9.12 | MA60=9.42 | BB下轨=7.97,9.8
玻璃基板,600707,彩虹股份,11.71,11.71,86.8,86.8,强上升,mixed,5.2,31,66.9,60.8,9.32,0,9.12,11.36,9.87,高,近120日高位; 极度缩量; 高波动,MA20=11.13 | MA40=10.27 | MA60=8.94 | BB下轨=9.40,22.1
玻璃基板,600552,凯盛科技,23.32,23.32,93.9,93.5,强上升,bullish,14.8,40.8,91.8,67.9,8.52,0,16.89,22.62,17.57,高,近120日高位; 远离MA20; 极度缩量; 高波动,MA20=20.32 | MA40=18.49 | MA60=16.56 | BB下轨=16.73,27.6
电子特气,603938,三孚股份,53.82,53.82,85.5,83.8,强上升,mixed,7.1,43.5,65.3,61.2,9.34,0,38.26,52.21,40.61,高,近120日高位; 极度缩量; 高波动,MA20=50.27 | MA40=43.39 | MA60=37.51 | BB下轨=38.67,28.9
电子特气,002971,和远气体,67.38,67.38,100,100,上升,bullish,55.2,88.5,101.8,94.5,6.58,0,36.45,65.36,21.29,高,近120日高位; 远离MA20; RSI超买; 接近20日高点; 极度缩量; 高波动,MA20=43.40 | MA40=38.86 | MA60=35.74 | BB下轨=20.28,45.9
电子特气,600378,昊华科技,65.16,65.16,100,100,上升,bullish,34.1,68.7,91.9,79.8,8,0,39.4,63.21,30.21,高,近120日高位; 远离MA20; RSI超买; 极度缩量; 高波动,MA20=48.58 | MA40=41.96 | MA60=38.63 | BB下轨=28.77,39.5
碳化硅功率半导体,002617,露笑科技,9,9,56.2,56.2,震荡偏多,mixed,-0.2,8.4,49.2,46.6,5.87,0,8.47,8.73,8.08,高,极度缩量; 高波动,MA20=9.02 | MA40=8.70 | MA60=8.30 | BB下轨=7.70,5.9
碳化硅功率半导体,603290,斯达半导,130.9,130.9,75.1,73.6,上升,mixed,6.9,16.3,69.2,51.7,5.69,0,114.85,126.97,105.58,高,极度缩量; 高波动,MA20=122.47 | MA40=117.87 | MA60=112.60 | BB下轨=100.55,12.3
碳化硅功率半导体,600703,三安光电,17.54,17.54,83.7,100,强上升,mixed,8.8,19.2,88.1,58.8,6.8,0,15.01,17.01,14.97,高,近120日高位; 极度缩量; 高波动,MA20=16.12 | MA40=15.79 | MA60=14.71 | BB下轨=14.26,14.4
碳化硅功率半导体,002171,楚江新材,15.38,15.38,95,100,上升,bullish,19.6,29.2,105.5,80.9,5.57,0,12.15,14.92,11.12,高,近120日高位; 远离MA20; RSI超买; 极度缩量; 高波动,MA20=12.86 | MA40=12.27 | MA60=11.91 | BB下轨=10.59,21
碳化硅功率半导体,600460,士兰微,41.83,41.83,100,100,强上升,bullish,19.4,38,111.3,66.2,5.64,0,30.92,40.58,30.97,高,近120日高位; 远离MA20; 极度缩量; 高波动,MA20=35.03 | MA40=32.37 | MA60=30.31 | BB下轨=29.50,26.1
