factor,horizon,ic_mean,ic_std,icir,n_days
vol_ratio_5_20,20d,-0.13036401980561158,0.2281293969916319,-0.5714477025965816,328
downside_vol_20,20d,0.027163946451494596,0.23989859350461712,0.11323095335684741,328
upside_vol_20,20d,0.001930130203557679,0.2562405766312879,0.007532492429311849,328
vol_asymmetry,20d,0.03590225563909774,0.2453514586445288,0.14632990501643525,328
vol_regime,20d,0.0019558163813387036,0.22088465169529162,0.008854469363660154,328
ret_skew_20,20d,0.009082156611039796,0.23471833257101393,0.03869385280458225,328
ma_convergence,20d,0.09232991014120667,0.22949329273861563,0.40232073469078256,328
price_compactness,20d,0.05648279770422897,0.23151908353239944,0.24396605602632582,328
volume_breakout,20d,-0.08266566054182845,0.25152504008307097,-0.32865777703296073,310
volume_contraction_signal,20d,0.06253986813957983,0.2643240032208881,0.2366030605526091,162
low_vol_streak,20d,0.10481688007466985,0.24387147243065932,0.4298037774978898,266
rsi_14,20d,-0.08824500275077939,0.24777739761075113,-0.3561462974496525,328
mom_20,20d,-0.07470658353200073,0.2619665652320778,-0.28517602414574433,328
rev_5,20d,0.09961030625343846,0.2370225687434951,0.42025663117859613,328
turnover_5,20d,-0.08160187052998348,0.2333005956688244,-0.34977137669129327,328
bb_position,20d,-0.08195947185035758,0.2458436583313847,-0.333380459787498,328
atr_14,20d,0.026416651384558953,0.24410005296817378,0.10822058849779605,328
upper_shadow,20d,0.01575690540890638,0.2562043661971789,0.06150131491818378,328
rank_lu_streak,20d,-0.009269956048555647,0.2559935098909141,-0.036211683852867334,327
rank_lu_vol_intensity,20d,-0.018956638448541747,0.25572277937958005,-0.0741296434151594,327
rank_lu_seal_quality,20d,0.0011649889961326148,0.25303083233138307,0.004604138497267722,327
rank_lu_amplitude,20d,-0.008246515907861273,0.2527967416370334,-0.03262113211768233,327
rank_lu_turnover_intensity,20d,-0.01928631538396002,0.25620056636070804,-0.07527819183977356,327
rank_lu_streak_quality,20d,-0.003850739990185325,0.256412414061176,-0.015017759589699892,327
rank_lu_board_strength,20d,0.0006545496051330975,0.2542430292569694,0.002574503643407776,327
rank_volume,20d,-0.07414725838987712,0.2439473697548315,-0.3039477673581623,328
rank_turnover,20d,-0.1400375939849624,0.22589482839739541,-0.6199238600478605,328
