date,rank,code,name,score,close,is_limit_up,is_limit_down
2026-03-17,1,000890,法尔胜,9.0,13.42,True,False
2026-03-17,2,600227,赤天化,7.0,5.29,True,False
2026-03-17,3,600722,金牛化工,7.0,19.3,False,False
2026-03-17,4,600108,亚盛集团,7.0,5.76,False,False
2026-03-17,5,000533,顺钠股份,6.0,20.53,True,False
2026-03-18,1,000890,法尔胜,9.0,13.6,False,False
2026-03-18,2,600227,赤天化,7.0,5.0,False,False
2026-03-18,3,600722,金牛化工,7.0,17.37,False,True
2026-03-18,4,600108,亚盛集团,7.0,5.61,False,False
2026-03-18,5,000533,顺钠股份,6.0,19.75,False,False
2026-03-19,1,000890,法尔胜,9.0,14.0,False,False
2026-03-19,2,600722,金牛化工,7.0,17.93,False,False
2026-03-19,3,000533,顺钠股份,6.0,18.58,False,False
2026-03-19,4,600396,华电辽能,5.0,5.69,True,False
2026-03-19,5,600726,华电能源,5.0,5.02,True,False
2026-03-20,1,000890,法尔胜,9.0,13.13,False,False
2026-03-20,2,600722,金牛化工,7.0,16.14,False,True
2026-03-20,3,600396,华电辽能,6.0,6.26,True,False
2026-03-20,4,600726,华电能源,6.0,5.52,True,False
2026-03-20,5,603778,国晟科技,6.0,24.21,True,False
2026-03-23,1,600396,华电辽能,7.0,6.89,True,False
2026-03-23,2,000890,法尔胜,7.0,13.15,False,False
2026-03-23,3,600726,华电能源,6.0,5.32,False,False
2026-03-23,4,603778,国晟科技,6.0,24.65,False,False
2026-03-23,5,000533,顺钠股份,6.0,16.33,False,False
2026-03-24,1,600396,华电辽能,8.0,7.58,True,False
2026-03-24,2,000601,韶能股份,6.0,8.06,True,False
2026-03-24,3,600821,金开新能,6.0,11.07,True,False
2026-03-24,4,600726,华电能源,6.0,5.59,False,False
2026-03-24,5,603778,国晟科技,6.0,24.71,False,False
2026-03-25,1,600396,华电辽能,9.0,8.34,True,False
2026-03-25,2,000601,韶能股份,7.0,8.87,True,False
2026-03-25,3,600726,华电能源,7.0,6.15,True,False
2026-03-25,4,603778,国晟科技,6.0,24.54,False,False
2026-03-25,5,000890,法尔胜,6.0,13.61,False,False
2026-03-26,1,600396,华电辽能,9.0,8.88,False,False
2026-03-26,2,000601,韶能股份,7.0,8.07,False,True
2026-03-26,3,603778,国晟科技,6.0,22.09,False,True
2026-03-26,4,000890,法尔胜,6.0,12.25,False,True
2026-03-26,5,603538,美诺华,5.0,35.62,True,False
2026-03-27,1,600396,华电辽能,9.0,8.99,False,False
2026-03-27,2,000601,韶能股份,7.0,7.8,False,False
2026-03-27,3,600666,奥瑞德,6.0,6.08,True,False
2026-03-27,4,603538,美诺华,6.0,39.18,True,False
2026-03-27,5,603778,国晟科技,6.0,23.0,False,False
2026-03-30,1,600396,华电辽能,9.0,8.09,False,True
2026-03-30,2,600726,华电能源,8.0,6.01,False,True
2026-03-30,3,603538,美诺华,7.0,43.1,True,False
2026-03-30,4,000601,韶能股份,7.0,7.34,False,False
2026-03-30,5,603778,国晟科技,6.0,25.3,True,False
2026-03-31,1,600396,华电辽能,9.0,8.35,False,False
2026-03-31,2,603538,美诺华,7.0,40.9,False,False
2026-03-31,3,000601,韶能股份,7.0,6.85,False,False
2026-03-31,4,000720,新能泰山,6.0,5.46,True,False
2026-03-31,5,605299,舒华体育,6.0,21.13,True,False
2026-04-01,1,600726,华电能源,8.0,5.91,False,False
2026-04-01,2,600396,华电辽能,8.0,7.52,False,True
2026-04-01,3,603538,美诺华,7.0,39.79,False,False
2026-04-01,4,600666,奥瑞德,6.0,6.27,True,False
2026-04-01,5,603687,大胜达,6.0,16.39,True,False
2026-04-02,1,600726,华电能源,8.0,5.32,False,True
2026-04-02,2,600396,华电辽能,8.0,7.34,False,False
2026-04-02,3,603538,美诺华,7.0,42.32,False,False
2026-04-02,4,000720,新能泰山,6.0,5.4,True,False
2026-04-02,5,600666,奥瑞德,6.0,6.17,False,False
2026-04-03,1,000720,新能泰山,7.0,5.94,True,False
2026-04-03,2,603538,美诺华,7.0,40.0,False,False
2026-04-03,3,600488,津药药业,6.0,6.97,True,False
2026-04-03,4,002309,中利集团,6.0,5.03,False,False
2026-04-03,5,600666,奥瑞德,6.0,5.88,False,False
2026-04-07,1,000720,新能泰山,8.0,6.53,True,False
2026-04-07,2,600488,津药药业,7.0,7.67,True,False
2026-04-07,3,603687,大胜达,7.0,16.38,True,False
2026-04-07,4,605299,舒华体育,7.0,22.85,True,False
2026-04-07,5,603538,美诺华,7.0,39.31,False,False
2026-04-08,1,000720,新能泰山,8.0,6.7,False,False
2026-04-08,2,600666,奥瑞德,7.0,6.5,True,False
2026-04-08,3,603538,美诺华,7.0,43.24,True,False
2026-04-08,4,600488,津药药业,7.0,7.36,False,False
2026-04-08,5,603687,大胜达,7.0,17.36,False,False
2026-04-09,1,000720,新能泰山,8.0,6.03,False,True
2026-04-09,2,600666,奥瑞德,7.0,6.56,False,False
2026-04-09,3,603538,美诺华,7.0,45.5,False,False
2026-04-09,4,600488,津药药业,7.0,7.08,False,False
2026-04-09,5,603687,大胜达,7.0,18.16,False,False
2026-04-10,1,000720,新能泰山,8.0,5.43,False,True
2026-04-10,2,600666,奥瑞德,7.0,6.3,False,False
2026-04-10,3,603538,美诺华,7.0,49.59,False,False
2026-04-10,4,600488,津药药业,7.0,6.42,False,True
2026-04-10,5,603687,大胜达,7.0,16.77,False,False
2026-04-13,1,000720,新能泰山,8.0,5.37,False,False
2026-04-13,2,603538,美诺华,7.0,48.07,False,False
2026-04-13,3,600488,津药药业,7.0,5.91,False,False
2026-04-13,4,002902,铭普光磁,6.0,30.88,True,False
2026-04-13,5,600666,奥瑞德,6.0,6.42,False,False
2026-04-14,1,000720,新能泰山,8.0,5.15,False,False
2026-04-14,2,603538,美诺华,7.0,50.96,False,False
2026-04-14,3,600488,津药药业,7.0,6.22,False,False
2026-04-14,4,002580,圣阳股份,6.0,22.97,True,False
2026-04-14,5,600539,狮头股份,5.0,15.95,True,False
2026-04-15,1,002580,圣阳股份,7.0,25.27,True,False
2026-04-15,2,002361,神剑股份,6.0,18.54,True,False
2026-04-15,3,603538,美诺华,6.0,55.5,False,False
2026-04-15,4,002051,中工国际,5.0,11.9,True,False
2026-04-15,5,603687,大胜达,5.0,18.04,True,False
2026-04-16,1,002580,圣阳股份,8.0,27.8,True,False
2026-04-16,2,002263,大东南,6.0,5.17,True,False
2026-04-16,3,600666,奥瑞德,6.0,6.85,True,False
2026-04-16,4,603687,大胜达,6.0,19.84,True,False
2026-04-16,5,000889,中嘉博创,6.0,5.0,False,False
2026-04-17,1,002580,圣阳股份,9.0,30.58,True,False
2026-04-17,2,600666,奥瑞德,6.0,7.09,False,False
2026-04-17,3,603687,大胜达,6.0,19.25,False,False
2026-04-17,4,000889,中嘉博创,6.0,5.29,False,False
2026-04-17,5,002361,神剑股份,6.0,18.75,False,False
2026-04-20,1,002580,圣阳股份,8.0,33.0,False,False
2026-04-20,2,002361,神剑股份,7.0,20.63,True,False
2026-04-20,3,002297,博云新材,6.0,19.46,True,False
2026-04-20,4,002263,大东南,6.0,5.13,False,False
2026-04-20,5,603773,沃格光电,5.0,58.19,True,False
2026-04-21,1,002580,圣阳股份,8.0,29.7,False,True
2026-04-21,2,002361,神剑股份,7.0,22.69,True,False
2026-04-21,3,002297,博云新材,6.0,18.99,False,False
2026-04-21,4,301055,张小泉,5.0,35.0,True,False
2026-04-21,5,603773,沃格光电,5.0,58.51,False,False
2026-04-22,1,002580,圣阳股份,8.0,26.73,False,True
2026-04-22,2,002361,神剑股份,6.0,23.65,False,False
2026-04-22,3,002297,博云新材,6.0,20.29,False,False
2026-04-22,4,002418,康盛股份,5.0,6.74,True,False
2026-04-22,5,003018,金富科技,5.0,52.2,True,False
2026-04-23,1,002580,圣阳股份,8.0,26.97,False,False
2026-04-23,2,002297,博云新材,7.0,22.24,True,False
2026-04-23,3,600488,津药药业,7.0,6.74,False,False
2026-04-23,4,603773,沃格光电,6.0,60.5,False,False
2026-04-23,5,002361,神剑股份,6.0,22.99,False,False
2026-04-24,1,002580,圣阳股份,8.0,27.7,False,False
2026-04-24,2,002297,博云新材,7.0,22.3,False,False
2026-04-24,3,600488,津药药业,7.0,6.12,False,True
2026-04-24,4,603773,沃格光电,6.0,58.3,False,False
2026-04-24,5,002361,神剑股份,6.0,21.46,False,False
2026-04-27,1,002297,博云新材,7.0,20.53,False,False
2026-04-27,2,002580,圣阳股份,7.0,28.82,False,False
2026-04-27,3,600396,华电辽能,6.0,10.12,True,False
2026-04-27,4,600152,维科技术,5.0,14.26,True,False
2026-04-27,5,600707,彩虹股份,5.0,8.88,True,False
2026-04-28,1,002297,博云新材,8.0,22.58,True,False
